ID,FORM,LEMMA,UPOS,XPOS,FEATS,Pronunciation
2,دور,دور,NOUN,NN,XPOS =,Daor
3,تعليم,تعليم,NOUN,NN,XPOS =,Taaleem
4,جو,جو,ADP,IN,XPOS =,Jo
5,دور,دور,NOUN,NN,XPOS =,Daor
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هي,هي,DET,DT,XPOS =,He
2,دنيا,دنيا,NOUN,NN,XPOS =,Duniyaa
3,به,به,ADP,IN,XPOS =,Bi
4,جنت,جنت,NOUN,NN,XPOS =,Janat
5,جو,جو,ADP,IN,XPOS =,Jo
6,هڪ,هڪ,NUM,CD,XPOS =,Hik
7,حسين,حسين,ADJ,JJ,XPOS =,Hasseen
8,منظر,منظر,NOUN,NN,XPOS =,Manzar
9,آهي,آهي,AUX,VB,XPOS =,Aahay
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هي,هي,DET,DT,XPOS =,He
2,تنهنجو,تنهنجو,PRON,PRP,XPOS =,Tuhenjo
3,ڪتاب,ڪتاب,NOUN,NN,XPOS =,kitaab
4,آهي,آهي,AUX,VB,XPOS =,Aahay
5,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هوءَ,هوءَ,DET,DT,XPOS =,Hooa
2,سڄي,سڄ,ADJ,JJ,XPOS =,Sajji
3,رات,رات,NOUN,NN,XPOS =,Raat
4,پڙهندي,پڙه,VERB,VB,XPOS =,parhande
5,رهي,ره,VERB,VB,XPOS =,Rahay
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هوءَ,هوءَ,DET,DT,XPOS =,Hooa
2,اڄ,اڄ,ADV,RB,XPOS =,Ajj
3,تمام,تمام,ADV,RB,XPOS =,Tamam
4,گھڻي,گھڻي,ADJ,JJ,XPOS =,Ghanni
5,خوش,خوش,ADJ,JJ,XPOS =,Khush
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هُو,هُو,DET,DT,XPOS =,Hoo
2,ڇوڪري,ڇوڪرِ,NOUN,NN,XPOS =,chhokri
3,کي,کي,ADP,IN,XPOS =,khe
4,ڏسي,ڏس,VERB,VB,XPOS =,Ddisi
5,ٿو,ٿو,VERB,VB,XPOS =,tho
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هُو,هُو,DET,DT,XPOS =,Hoo
2,اڄ,اڄ,ADV,RB,XPOS =,Ajj
3,تمام,تمام,ADV,RB,XPOS =,Tamam
4,گھڻو,گھڻو,ADJ,JJ,XPOS =,Ghanno
5,خوش,خوش,ADJ,JJ,XPOS =,Khush
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هن,هن,DET,DT,XPOS =,Hin
2,کي,کي,ADP,IN,XPOS =,khe
3,ڪهڙي,ڪهڙي,ADV,RB,XPOS =,kehrri
4,خبر,خبر,NOUN,NN,XPOS =,Khabar
5,ته,ته,ADP,IN,XPOS =,ta
6,هُو,هُو,DET,DT,XPOS =,Hoo
7,منهنجي,منهن,PRON,PRP,XPOS =,Muhnji
8,زندگي,زندگي,NOUN,NN,XPOS =,Zindagi
9,آهي,آهي,AUX,VB,XPOS =,Aahay
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هن,هن,DET,DT,XPOS =,Hin
2,جا,جو,ADP,IN,XPOS =,Ja
3,دوست,دوست,NOUN,NN,XPOS =,Doast
4,هن,هن,DET,DT,XPOS =,Hin
5,کي,کي,ADP,IN,XPOS =,khe
6,ايماندار,ايمان,ADJ,JJ,XPOS =,Eamaandar
7,سمجھن,سمجھ,VERB,VB,XPOS =,Samjhan
8,ٿا,ٿو,VERB,VB,XPOS =,thaa
9,.,.,PERIOD,-,XPOS =,Pooro Dam
1,سچ,سچ,NOUN,NN,XPOS =,sach
2,ڳالهائڻ,ڳاله,VERB,VB,XPOS =,Ghaalhaaen
3,گھرجي,گھرج,AUX,VB,XPOS =,ghurjay
4,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هميشه,هميشه,ADV,RB,XPOS =,Hamesha
2,سٺو,سٺو,ADJ,JJ,XPOS =,Sutho
3,سوچڻ,سوچ,VERB,VB,XPOS =,Sochan
4,گھرجي,گھرج,AUX,VB,XPOS =,ghurjay
5,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هميشه,هميشه,ADV,RB,XPOS =,Hamesha
2,حق,حق,NOUN,NN,XPOS =,Haq
3,۽,۽,CONJ,CC,XPOS =,Aen
4,سچ,سچ,NOUN,NN,XPOS =,sach
5,جو,جو,ADP,IN,XPOS =,Jo
6,ساٿ,ساٿ,NOUN,NN,XPOS =,Saath
7,ڏجي,ڏج,VERB,VB,XPOS =,Ddijay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هر,هر,DET,DT,XPOS =,Har
2,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
3,کي,کي,ADP,IN,XPOS =,khe
4,اهميت,اهميت,NOUN,NN,XPOS =,Ahmyat
5,۽,۽,CONJ,CC,XPOS =,Aen
6,عزت,عزت,NOUN,NN,XPOS =,izat
7,ڏيڻ,ڏي,VERB,VB,XPOS =,ddian
8,گھرجي,گھرج,AUX,VB,XPOS =,ghurjay
9,.,.,PERIOD,-,XPOS =,Pronunciation = Pooro Dam
1,هر,هر,DET,DT,XPOS =,Har
2,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
3,صرف,صرف,ADV,RB,XPOS =,Sirf
4,پنهنجي,پنهنجي,PRON,PRP,XPOS =,Pahenji
5,لاءِ,لاءِ,ADP,IN,XPOS =,Lae
6,سوچي,سوچ,VERB,VB,XPOS =,Sochay
7,ٿو,ٿو,VERB,VB,XPOS =,tho
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,هر,هر,DET,DT,XPOS =,Har
2,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
3,پنهنجي,پنهنجي,PRON,PRP,XPOS =,Pahenji
4,ذميواري,ذميوار,NOUN,NN,XPOS =,Zimewaari
5,نڀائي,نڀاءِ,VERB,VB,XPOS =,Nibhai
6,ته,ته,ADP,IN,XPOS =,ta
7,معاشرو,معاشرو,NOUN,NN,XPOS =,Muaashiro
8,بهترين,بهتر,ADJ,JJ,XPOS =,Behtareen
9,ٿيندو,ٿي,VERB,VBG,XPOS =,theendo
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,نوازشريف,نوازشريف,PROPN,NNP,XPOS =,Nawaz shareef
2,علاج,علاج,NOUN,NN,XPOS =,Ilaaj
3,لاءِ,لاءِ,ADP,IN,XPOS =,Lae
4,لنڊن,لنڊن,PROPN,NNP,XPOS =,London
5,ويو,ويو,VERB,VBD,XPOS =,Wayo
5,آهي,آهي,AUX,VB,XPOS =,Aahay
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,نرم,نرم,ADJ,JJ,XPOS =,Naram
2,آهيان,آهي,AUX,VB,XPOS =,Aahyaan
3,بي,بي,ADV,-,XPOS =,Bee
4,ساھ,ساھ,NOUN,NN,XPOS =,Saah
5,ته,ته,ADP,IN,XPOS =,ta
6,نه,نه,ADV,RB,XPOS =,Na
7,آهيان,آهيان,AUX,VB,XPOS =,Aahyaan
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,نئين,نئين,ADJ,JJ,XPOS =,Naeen
2,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
3,کي,کي,ADP,IN,XPOS =,khe
4,ماحول,ماحول,NOUN,NN,XPOS =,Maahol
5,کي,کي,ADP,IN,XPOS =,khe
6,سمجھڻ,سمجھ,VERB,VB,XPOS =,Samjhann
6,۾,۾,ADP,IN,XPOS =,Me
7,وقت,وقت,NOUN,NN,XPOS =,Waqt
8,لڳي,لڳ,VERB,VB,XPOS =,Laghay
9,ٿو,ٿو,VERB,VB,XPOS =,tho
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مِينهن,مِينهن,PROPN,NNP,XPOS =,Meehn
2,جي,جي,ADP,IN,XPOS =,Je
3,مند,مند,NOUN,NN,XPOS =,Mund
4,۾,۾,ADP,IN,XPOS =,Me
5,کنڀيون,کنڀي,NOUN,NNS,XPOS =,khunbhyoon
6,جام,جام,ADJ,JJ,XPOS =,Jaam
6,ٿين,ٿي,VERB,VB,XPOS =,thian
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مون,مون,PRON,PRP,XPOS =,Moo
2,ڏٺو,ڏٺو,VERB,VBD,XPOS =,dditho
3,ته,ته,ADP,IN,XPOS =,ta
4,هُو,هُو,DET,DT,XPOS =,Hoo
5,تمام,تمام,ADV,RB,XPOS =,Tamam
6,گھڻو,گھڻو,ADJ,JJ,XPOS =,Ghanno
7,سوچي,سوچ,VERB,VB,XPOS =,Sochay
7,رهيو,رهيو,VERB,VBD,XPOS =,Rahyo
8,آهي,آهي,AUX,VB,XPOS =,Aahay
9,.,.,PERIOD,-,XPOS =,Pooro Dam
1,موت,موت,NOUN,NN,XPOS =,Moat
2,جي,جي,ADP,IN,XPOS =,Je
3,ڊپ,ڊپ,NOUN,NN,XPOS =,Ddap
4,کان,کان,ADP,IN,XPOS =,khaan
5,هُو,هُو,DET,DT,XPOS =,Hoo
6,اڪيلو,اڪيلو,ADJ,JJ,XPOS =,Akelo
7,سمهي,سمه,VERB,VB,XPOS =,Sumhay
8,ئي,ئي,ADV,RB,XPOS =,Ee
9,نه,نه,ADV,RB,XPOS =,Na
10,ٿو,ٿو,VERB,VB,XPOS =,tho
11,.,.,PERIOD,-,XPOS =,Pooro Dam
1,منهنجي,منهن,PRON,PRP,XPOS =,Muhnji
2,سوچ,سوچ,NOUN,NN,XPOS =,Soch
3,ڪڏهن,ڪڏهن,ADV,RB,XPOS =,kedehn
4,به,به,ADP,IN,XPOS =,Bi
5,بدلجي,بدل,VERB,VB,XPOS =,Badaljay
6,نٿي,نٿي,ADV,RB,XPOS =,Nathi
7,سگھي,سگھي,AUX,VB,XPOS =,Saghay
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,منهنجي,منهن,PRON,PRP,XPOS =,Muhnji
2,زال,زال,NOUN,NN,XPOS =,Zaal
3,منهنجي,منهن,PRON,PRP,XPOS =,Muhnji
4,بهترين,بهتر,ADJ,JJ,XPOS =,Behtareen
5,دوست,دوست,NOUN,NN,XPOS =,Doast
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مندائتي,مند,ADJ,JJ,XPOS =,Mundaaeti
2,بارش,بارش,NOUN,NN,XPOS =,Barish
3,فصلن,فصل,NOUN,NNS,XPOS =,Faslan
4,لاءِ,لاءِ,ADP,IN,XPOS =,Lae
5,بهتر,بهتر,ADJ,JJ,XPOS =,Behtar
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,ملڪ,ملڪ,NOUN,NN,XPOS =,Mulk
2,سان,سان,ADP,IN,XPOS =,Saan
3,محبت,محبت,NOUN,NN,XPOS =,Muhbat
4,ايمان,ايمان,NOUN,NN,XPOS =,Eman
5,جي,جي,ADP,IN,XPOS =,Je
6,نشاني,نشان,NOUN,NN,XPOS =,Nishaani
7,آهي,آهي,AUX,VB,XPOS =,Aahay
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مظفر,مظفر,PROPN,NNP,XPOS =,Muzfar
2,نئين,نئين,ADJ,JJ,XPOS =,Naeen
3,ٽهي,ٽهي,NOUN,NN,XPOS =,tahee
4,جو,جو,ADP,IN,XPOS =,Jo
5,سٺو,سٺو,ADJ,JJ,XPOS =,Sutho
6,شاعر,شاعر,NOUN,NN,XPOS =,Shaer
7,آهي,آهي,AUX,VB,XPOS =,Aahay
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,صفدر,صفدر,PROPN,NNP,XPOS =,Safdar
2,سٺو,سٺو,ADJ,JJ,XPOS =,Sutho
3,شاعر,شاعر,NOUN,NN,XPOS =,Shaer
4,آهي,آهي,AUX,VB,XPOS =,Aahay
5,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مسڪراهٽ,مسڪراهٽ,NOUN,NN,XPOS =,Muskraahat
2,زندگي,زندگي,NOUN,NN,XPOS =,Zindagi
3,۾,۾,ADP,IN,XPOS =,Me
4,خوشيون,خوش,NOUN,NNS,XPOS =,Khushyoon
5,آڻي,آڻ,VERB,VB,XPOS =,Aanay
6,ٿي,ٿي,VERB,VB,XPOS =,thee
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مختلف,مختلف,ADJ,JJ,XPOS =,Mukhtalif
2,دورن,دور,NOUN,NN,XPOS =,Daoran
3,۾,۾,ADP,IN,XPOS =,Me
4,قومن,قوم,NOUN,NNS,XPOS =,Qoaman
5,جي,جي,ADP,IN,XPOS =,Je
6,بقا,بقا,NOUN,NN,XPOS =,Baqa
7,۽,۽,CONJ,CC,XPOS =,Aen
8,سڌاري,سڌار,ADJ,JJ,XPOS =,Sudharay
9,جا,جو,ADP,IN,XPOS =,Ja
10,معيار,معيار,NOUN,NN,XPOS =,Mayaar
11,به,به,ADP,IN,XPOS =,Bi
12,مختلف,مختلف,ADJ,JJ,XPOS =,Mukhtalif
13,رهيا,ره,VERB,VBD,XPOS =,Rahyo
14,آهن,آهي,AUX,VB,XPOS =,Aahin
15,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مختلف,مختلف,ADJ,JJ,XPOS =,Mukhtalif
2,دورن,دور,NOUN,NN,XPOS =,Daoran
3,۾,۾,ADP,IN,XPOS =,Me
4,قومن,قوم,NOUN,NNS,XPOS =,Qoaman
5,جي,جي,ADP,IN,XPOS =,Je
6,بقا,بقا,NOUN,NN,XPOS =,Baqa
7,۽,۽,CONJ,CC,XPOS =,Aen
8,سڌاري,سڌار,ADJ,JJ,XPOS =,Sudharay
9,جا,جو,ADP,IN,XPOS =,Ja
10,معيار,معيار,NOUN,NN,XPOS =,Mayaar
11,به,به,ADP,IN,XPOS =,Bi
12,مختلف,مختلف,ADJ,JJ,XPOS =,Mukhtalif
13,رهيا,ره,VERB,VBD,XPOS =,Rahyo
14,آهن,آهي,AUX,VB,XPOS =,Aahin
15,.,.,PERIOD,-,XPOS =,Pooro Dam
1,محنتي,محنت,ADJ,JJ,XPOS =,Mehnati
2,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
3,ڪڏهن,ڪڏهن,ADV,RB,XPOS =,kedehn
4,به,به,ADP,IN,XPOS =,Bi
5,ناڪام,ناڪام,ADJ,JJ,XPOS =,Naakaam
6,ناهن,ناه,ADV,RB,XPOS =,Naahin
7,ٿيندا,ٿي,VERB,VBG,XPOS =,Theenda
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,محنت,محنت,NOUN,NN,XPOS =,Mehnat
2,ڪرڻ,ڪر,VERB,VB,XPOS =,karan
3,اسان,آءُ,PRON,PRP,XPOS =,Asaan
4,جو,جو,ADP,IN,XPOS =,Jo
5,ڪم,ڪم,NOUN,NN,XPOS =,kam
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,۽,۽,CONJ,CC,XPOS =,Aen
8,ڪاميابي,ڪامياب,NOUN,NN,XPOS =,kamyaabi
9,ڏيڻ,ڏي,VERB,VB,XPOS =,ddian
10,ڌڻي,ڌڻي,PROPN,NNP,XPOS =,dhanni
11,جو,جو,ADP,IN,XPOS =,Jo
12,ڪم,ڪم,NOUN,NN,XPOS =,kam
13,آهي,آهي,AUX,VB,XPOS =,Aahay
14,.,.,PERIOD,-,XPOS =,Pooro Dam
1,محمد,محمد,PROPN,NNP,XPOS =,Muhammad
2,علي,علي,PROPN,NNP,XPOS =,Ali
3,سٺو,سٺو,ADJ,JJ,XPOS =,Sutho
4,ٻار,ٻار,NOUN,NN,XPOS =,baar
5,آهي,آهي,AUX,VB,XPOS =,Aahay
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,محمد,محمد,PROPN,NNP,XPOS =,Muhammad
2,علي,علي,PROPN,NNP,XPOS =,Ali
3,ڏاهو,ڏاهو,ADJ,JJ,XPOS =,Ddaaho
4,ڇوڪر,ڇوڪر,NOUN,NN,XPOS =,chhokar
5,آهي,آهي,AUX,VB,XPOS =,Aahay
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مٺي,مٺي,ADJ,JJ,XPOS =,Mithi
2,زبان,زبان,NOUN,NN,XPOS =,Pronunciation = Zibaan
3,وارو,وارو,ADP,IN,XPOS =,Waaro
4,انسان,انسان,NOUN,NN,XPOS =,Insaan
5,هرهنڌ,هر,ADV,RB,XPOS =,Harhandh
6,ساراهيو,ساراه,ADJ,JJ,XPOS =,Saarhaayo
7,وڃي,وڃ,VERB,VB,XPOS =,waghhay
8,ٿو,ٿو,VERB,VB,XPOS =,tho
9,.,.,PERIOD,-,XPOS =,Pooro Dam
1,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
2,جو,جو,ADP,IN,XPOS =,Jo
3,اخلاق,اخلاق,NOUN,NN,XPOS =,Ikhilaaq
4,ئي,ئي,ADV,RB,XPOS =,Ee
5,ان,ان,DET,DT,XPOS =,In
6,کي,کي,ADP,IN,XPOS =,khe
7,خوبصورت,خوبصورت,ADJ,JJ,XPOS =,Khoobsoorat
8,بڻائي,بڻاءِ,VERB,VB,XPOS =,Bannaa'ay
9,ٿو,ٿو,VERB,VB,XPOS =,tho
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,ماڻهن,ماڻهو,NOUN,NN,XPOS =,Manhun
2,جي,جي,ADP,IN,XPOS =,Je
3,چوڻ,چوڻ,VERB,VB,XPOS =,chawan
4,جي,جي,ADP,IN,XPOS =,Je
5,باوجود,باوجود,ADV,RB,XPOS =,Bawajood
6,به,به,ADP,IN,XPOS =,Bi
7,هن,هن,DET,DT,XPOS =,Hin
8,ڪم,ڪم,NOUN,NN,XPOS =,kam
9,ڪرڻ,ڪر,VERB,VB,XPOS =,karan
10,نه,نه,ADV,RB,XPOS =,Na
11,ڇڏيو,ڇڏ,VERB,VBD,XPOS =,chhaddyo
12,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مان,مان,PRON,PRP,XPOS =,Maan
2,هينئر,هينئر,ADV,RB,XPOS =,Heenr
3,گھران,گھر,NOUN,NN,XPOS =,gharaan
4,ٿو,ٿو,VERB,VB,XPOS =,tho
5,اچان,اچ,VERB,VB,XPOS =,Achaan
6,.,.,PERIOD,-,XPOS =,Pooro Dam
1,مائٽن,مائٽ,NOUN,NNS,XPOS =,Maaetrin
2,کي,کي,ADP,IN,XPOS =,khe
3,عزت,عزت,NOUN,NN,XPOS =,izat
4,ڏي,ڏي,VERB,VB,XPOS =,Dde
5,ته,ته,ADP,IN,XPOS =,ta
6,توکي,تو,PRON,PRP,XPOS =,Tokhay
7,به,به,ADP,IN,XPOS =,Bi
8,عزت,عزت,NOUN,NN,XPOS =,izat
9,ملي,مل,VERB,VB,XPOS =,Milay
10,.,.,PERIOD,-,XPOS =,Pooro Dam
1,ماءُ,ماءُ,NOUN,NN,XPOS =,Maau
2,جي,جي,ADP,IN,XPOS =,Je
3,پيرن,پير,NOUN,NNS,XPOS =,per
4,هيٺيان,هيٺ,ADJ,JJ,XPOS =,Hethiaan
5,جنت,جنت,NOUN,NN,XPOS =,Janat
6,آهي,آهي,AUX,VB,XPOS =,Aahay
7,.,.,PERIOD,-,XPOS =,Pooro Dam
1,ماءُ,ماءُ,NOUN,NN,XPOS =,Maau
2,جو,جو,ADP,IN,XPOS =,Jo
3,پيار,پيار,NOUN,NN,XPOS =,Pronunciation = pyaar
4,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
5,کان,کان,ADP,IN,XPOS =,khaan
6,ڄمڻ,ڄم,VERB,VB,XPOS =,Jjman
7,کان,کان,ADP,IN,XPOS =,khaan
8,مرڻ,مر,VERB,VB,XPOS =,Maran
9,تائين,تائين,ADP,IN,XPOS =,Taaeen
10,نه,نه,ADV,RB,XPOS =,Na
11,وسرندو,وسر,VERB,VBZ,XPOS =,Wisrando
12,آهي,آهي,AUX,VB,XPOS =,Aahay
13,.,.,PERIOD,-,XPOS =,Pooro Dam
1,لوهر,لوهر,PROPN,NNP,XPOS =,Lohar
2,پينگھو,پينگھ,NOUN,NN,XPOS =,peengho
3,ٺاهي,ٺاه,VERB,VB,XPOS =,Thaahay
4,ٿو,ٿو,VERB,VB,XPOS =,tho
5,.,.,PERIOD,-,XPOS =,Pooro Dam
1,لوهارڪي,لوهار,ADJ,JJ,XPOS =,Loharkay
2,ڪم,ڪم,NOUN,NN,XPOS =,kam
3,۾,۾,ADP,IN,XPOS =,Me
4,هٿ,هٿ,NOUN,NN,XPOS =,Hath
5,سخت,سخت,ADJ,JJ,XPOS =,Sakht
6,ٿئي,ٿي,VERB,VB,XPOS =,theeay
7,ٿو,ٿو,VERB,VB,XPOS =,tho
8,.,.,PERIOD,-,XPOS =,Pooro Dam
1,لڳي,لڳ,VERB,VB,XPOS =,Laghay
2,رهي,ره,VERB,VB,XPOS =,Rahay
3,آ,آ,VERB,-,XPOS =,Aa
4,ٿڌڙي,ٿڌ,ADJ,JJ,XPOS =,thadhrri
5,هير,هير,PROPN,NNP,XPOS =,Heer
6,!,!,SYM,SYM,XPOS =,Pronunciation = Ajab ji nishaani
7,گوپال,گوپال,PROPN,NNP,XPOS =,Gopal
8,کي,کي,ADP,IN,XPOS =,khe
9,سڏ,سڏ,NOUN,NN,XPOS =,Sadd
10,ڪيم,ڪيم,VERB,VBD,XPOS =,Pronunciation = kayam
11,پر,پر,CONJ,CC,XPOS =,per
12,هُو,هُو,DET,DT,XPOS =,Hoo
13,هليو,هل,VERB,VBD,XPOS =,Halyo
14,ويو,ويو,VERB,VBD,XPOS =,Wayo
15,.,.,PERIOD,-,XPOS =,Pooro Dam
1,گوپال,گوپال,PROPN,NNP,XPOS =,Gopal
2,کي,کي,ADP,IN,XPOS =,khe
3,سڏ,سڏ,NOUN,NN,XPOS =,Sadd
4,ڪيم,ڪيم,VERB,VBD,XPOS =,kayam
5,پر,پر,CONJ,CC,XPOS =,per
6,هُو,هُو,DET,DT,XPOS =,Hoo
7,اسلم,اسلم,PROPN,NNP,XPOS =,Aslam
8,سان,سان,ADP,IN,XPOS =,Pronunciation = Saan
9,هليو,هل,VERB,VBD,XPOS =,Halyo
10,ويو,ويو,VERB,VBD,XPOS =,Wayo
11,.,.,PERIOD,-,XPOS =,Pronunciation = Pooro Dam
1,گھڻو ڪري,گھڻو,ADV,RB,XPOS =,Ghannokaray
2,ماڻهو,ماڻهو,NOUN,NN,XPOS =,Maanhoo
3,لاتعلقي,لاتعلق,NOUN,NN,XPOS =,Laataaluqi
4,جو,جو,ADP,IN,XPOS =,Jo
5,اظهار,اظهار,NOUN,NN,XPOS =,Pronunciation = Izhaar
6,ڪري,ڪر,VERB,VB,XPOS =,karay
7,پنهنجي,پنهنجي,PRON,PRP,XPOS =,Pahenji
8,ذميواري,ذميوار,NOUN,NN,XPOS =,Zimewaari
9,نٿا,نٿا,ADV,RB,XPOS =,Nathaa
10,نڀائين,نڀاءِ,VERB,VB,XPOS =,Nibhaeen
11,.,.,PERIOD,-,XPOS =,Pooro Dam
1,گلن,گل,NOUN,NNS,XPOS =,Pronunciation = gulan
2,جي,جي,ADP,IN,XPOS =,Je
3,خوشبوءِ,خوشبوءِ,NOUN,NN,XPOS =,Khushbooe
4,ماحول,ماحول,NOUN,NN,XPOS =,Maahol
5,کي,کي,ADP,IN,XPOS =,khe
6,معطر,معطر,ADJ,JJ,XPOS =,Muatar
7,ڪري,ڪر,VERB,VB,XPOS =,karay
8,ڇڏي,ڇڏ,VERB,VB,XPOS =,chhaday
